   s  energy(a.u.)
 -18.907  -1224.728003374  
 -18.904  -1224.728003367  
 -18.901  -1224.728003359  
 -18.898  -1224.728003351  
 -18.894  -1224.728003342  
 -18.891  -1224.728003334  
 -18.887  -1224.728003325  
 -18.884  -1224.728003317  
 -18.881  -1224.728003308  
 -18.877  -1224.728003300  
 -18.874  -1224.728003292  
 -18.871  -1224.728003283  
 -18.868  -1224.728003275  
 -18.864  -1224.728003266  
 -18.861  -1224.728003257  
 -18.857  -1224.728003248  
 -18.854  -1224.728003240  
 -18.851  -1224.728003231  
 -18.847  -1224.728003221  
 -18.844  -1224.728003212  
 -18.840  -1224.728003203  
 -18.837  -1224.728003195  
 -18.834  -1224.728003186  
 -18.830  -1224.728003176  
 -18.826  -1224.728003166  
 -18.823  -1224.728003157  
 -18.819  -1224.728003148  
 -18.816  -1224.728003138  
 -18.813  -1224.728003130  
 -18.809  -1224.728003121  
 -18.806  -1224.728003111  
 -18.802  -1224.728003101  
 -18.799  -1224.728003091  
 -18.795  -1224.728003081  
 -18.791  -1224.728003072  
 -18.788  -1224.728003063  
 -18.785  -1224.728003054  
 -18.781  -1224.728003044  
 -18.778  -1224.728003033  
 -18.774  -1224.728003023  
 -18.770  -1224.728003013  
 -18.767  -1224.728003002  
 -18.763  -1224.728002992  
 -18.759  -1224.728002982  
 -18.756  -1224.728002972  
 -18.752  -1224.728002961  
 -18.748  -1224.728002951  
 -18.744  -1224.728002939  
 -18.741  -1224.728002929  
 -18.737  -1224.728002919  
 -18.734  -1224.728002909  
 -18.730  -1224.728002898  
 -18.727  -1224.728002888  
 -18.723  -1224.728002877  
 -18.719  -1224.728002865  
 -18.715  -1224.728002854  
 -18.711  -1224.728002843  
 -18.708  -1224.728002832  
 -18.704  -1224.728002821  
 -18.700  -1224.728002810  
 -18.696  -1224.728002798  
 -18.692  -1224.728002787  
 -18.689  -1224.728002776  
 -18.685  -1224.728002765  
 -18.682  -1224.728002755  
 -18.678  -1224.728002744  
 -18.674  -1224.728002732  
 -18.670  -1224.728002721  
 -18.666  -1224.728002708  
 -18.662  -1224.728002696  
 -18.658  -1224.728002683  
 -18.654  -1224.728002671  
 -18.651  -1224.728002660  
 -18.647  -1224.728002648  
 -18.643  -1224.728002636  
 -18.639  -1224.728002625  
 -18.635  -1224.728002612  
 -18.631  -1224.728002599  
 -18.627  -1224.728002586  
 -18.623  -1224.728002574  
 -18.619  -1224.728002562  
 -18.616  -1224.728002550  
 -18.612  -1224.728002537  
 -18.608  -1224.728002524  
 -18.603  -1224.728002511  
 -18.600  -1224.728002499  
 -18.596  -1224.728002487  
 -18.592  -1224.728002474  
 -18.588  -1224.728002461  
 -18.584  -1224.728002449  
 -18.580  -1224.728002435  
 -18.576  -1224.728002421  
 -18.572  -1224.728002409  
 -18.568  -1224.728002396  
 -18.564  -1224.728002382  
 -18.560  -1224.728002369  
 -18.556  -1224.728002356  
 -18.552  -1224.728002342  
 -18.548  -1224.728002329  
 -18.544  -1224.728002315  
 -18.540  -1224.728002302  
 -18.536  -1224.728002288  
 -18.531  -1224.728002274  
 -18.527  -1224.728002260  
 -18.523  -1224.728002245  
 -18.519  -1224.728002232  
 -18.515  -1224.728002219  
 -18.511  -1224.728002206  
 -18.507  -1224.728002193  
 -18.503  -1224.728002178  
 -18.499  -1224.728002163  
 -18.495  -1224.728002149  
 -18.490  -1224.728002134  
 -18.486  -1224.728002119  
 -18.482  -1224.728002105  
 -18.478  -1224.728002092  
 -18.474  -1224.728002077  
 -18.470  -1224.728002062  
 -18.465  -1224.728002046  
 -18.461  -1224.728002032  
 -18.457  -1224.728002018  
 -18.453  -1224.728002003  
 -18.449  -1224.728001989  
 -18.445  -1224.728001974  
 -18.441  -1224.728001959  
 -18.436  -1224.728001944  
 -18.432  -1224.728001928  
 -18.428  -1224.728001913  
 -18.424  -1224.728001898  
 -18.419  -1224.728001882  
 -18.415  -1224.728001867  
 -18.411  -1224.728001852  
 -18.407  -1224.728001837  
 -18.403  -1224.728001821  
 -18.398  -1224.728001806  
 -18.394  -1224.728001790  
 -18.390  -1224.728001774  
 -18.385  -1224.728001757  
 -18.381  -1224.728001742  
 -18.377  -1224.728001726  
 -18.373  -1224.728001710  
 -18.368  -1224.728001695  
 -18.364  -1224.728001679  
 -18.360  -1224.728001663  
 -18.356  -1224.728001647  
 -18.351  -1224.728001631  
 -18.347  -1224.728001615  
 -18.343  -1224.728001598  
 -18.338  -1224.728001580  
 -18.334  -1224.728001564  
 -18.330  -1224.728001548  
 -18.326  -1224.728001533  
 -18.321  -1224.728001515  
 -18.317  -1224.728001499  
 -18.312  -1224.728001482  
 -18.308  -1224.728001465  
 -18.303  -1224.728001447  
 -18.299  -1224.728001430  
 -18.294  -1224.728001412  
 -18.290  -1224.728001395  
 -18.285  -1224.728001377  
 -18.281  -1224.728001359  
 -18.276  -1224.728001339  
 -18.271  -1224.728001319  
 -18.266  -1224.728001300  
 -18.261  -1224.728001280  
 -18.256  -1224.728001260  
 -18.251  -1224.728001240  
 -18.245  -1224.728001218  
 -18.240  -1224.728001195  
 -18.233  -1224.728001170  
 -18.227  -1224.728001144  
 -18.220  -1224.728001116  
 -18.212  -1224.728001084  
 -18.204  -1224.728001049  
 -18.194  -1224.728001008  
 -18.182  -1224.728000959  
 -18.167  -1224.728000895  
 -18.146  -1224.728000803  
 -18.116  -1224.728000662  
 -18.086  -1224.728000503  
 -18.056  -1224.728000313  
 -18.026  -1224.728000082  
 -17.996  -1224.727999801  
 -17.966  -1224.727999464  
 -17.936  -1224.727999069  
 -17.906  -1224.727998612  
 -17.876  -1224.727998093  
 -17.846  -1224.727997510  
 -17.816  -1224.727996862  
 -17.786  -1224.727996150  
 -17.756  -1224.727995371  
 -17.726  -1224.727994527  
 -17.696  -1224.727993616  
 -17.666  -1224.727992639  
 -17.636  -1224.727991595  
 -17.606  -1224.727990484  
 -17.576  -1224.727989307  
 -17.546  -1224.727988062  
 -17.516  -1224.727986750  
 -17.486  -1224.727985371  
 -17.456  -1224.727983925  
 -17.426  -1224.727982412  
 -17.396  -1224.727980831  
 -17.366  -1224.727979184  
 -17.336  -1224.727977469  
 -17.306  -1224.727975687  
 -17.276  -1224.727973839  
 -17.246  -1224.727971923  
 -17.217  -1224.727969940  
 -17.187  -1224.727967891  
 -17.157  -1224.727965775  
 -17.127  -1224.727963592  
 -17.097  -1224.727961342  
 -17.067  -1224.727959027  
 -17.037  -1224.727956644  
 -17.007  -1224.727954196  
 -16.977  -1224.727951681  
 -16.947  -1224.727949101  
 -16.917  -1224.727946455  
 -16.887  -1224.727943742  
 -16.857  -1224.727940965  
 -16.827  -1224.727938121  
 -16.797  -1224.727935213  
 -16.767  -1224.727932239  
 -16.737  -1224.727929200  
 -16.707  -1224.727926097  
 -16.677  -1224.727922928  
 -16.647  -1224.727919695  
 -16.617  -1224.727916398  
 -16.587  -1224.727913036  
 -16.557  -1224.727909610  
 -16.527  -1224.727906120  
 -16.497  -1224.727902567  
 -16.467  -1224.727898949  
 -16.437  -1224.727895268  
 -16.407  -1224.727891524  
 -16.377  -1224.727887717  
 -16.347  -1224.727883846  
 -16.317  -1224.727879913  
 -16.287  -1224.727875917  
 -16.257  -1224.727871859  
 -16.227  -1224.727867738  
 -16.197  -1224.727863555  
 -16.167  -1224.727859311  
 -16.137  -1224.727855004  
 -16.107  -1224.727850636  
 -16.077  -1224.727846206  
 -16.047  -1224.727841715  
 -16.017  -1224.727837164  
 -15.987  -1224.727832551  
 -15.957  -1224.727827877  
 -15.927  -1224.727823143  
 -15.897  -1224.727818349  
 -15.867  -1224.727813494  
 -15.837  -1224.727808580  
 -15.807  -1224.727803606  
 -15.777  -1224.727798572  
 -15.747  -1224.727793479  
 -15.717  -1224.727788326  
 -15.687  -1224.727783115  
 -15.657  -1224.727777844  
 -15.627  -1224.727772515  
 -15.597  -1224.727767128  
 -15.567  -1224.727761681  
 -15.537  -1224.727756177  
 -15.507  -1224.727750614  
 -15.477  -1224.727744994  
 -15.447  -1224.727739316  
 -15.417  -1224.727733580  
 -15.387  -1224.727727787  
 -15.357  -1224.727721936  
 -15.327  -1224.727716028  
 -15.297  -1224.727710063  
 -15.267  -1224.727704041  
 -15.237  -1224.727697962  
 -15.207  -1224.727691826  
 -15.177  -1224.727685634  
 -15.147  -1224.727679384  
 -15.117  -1224.727673079  
 -15.087  -1224.727666717  
 -15.057  -1224.727660298  
 -15.027  -1224.727653824  
 -14.997  -1224.727647293  
 -14.967  -1224.727640706  
 -14.937  -1224.727634063  
 -14.907  -1224.727627364  
 -14.877  -1224.727620609  
 -14.847  -1224.727613797  
 -14.817  -1224.727606930  
 -14.787  -1224.727600008  
 -14.757  -1224.727593029  
 -14.727  -1224.727585994  
 -14.697  -1224.727578904  
 -14.667  -1224.727571758  
 -14.637  -1224.727564557  
 -14.607  -1224.727557299  
 -14.577  -1224.727549986  
 -14.547  -1224.727542618  
 -14.517  -1224.727535193  
 -14.487  -1224.727527713  
 -14.457  -1224.727520178  
 -14.427  -1224.727512586  
 -14.397  -1224.727504940  
 -14.367  -1224.727497237  
 -14.337  -1224.727489479  
 -14.307  -1224.727481666  
 -14.277  -1224.727473797  
 -14.247  -1224.727465872  
 -14.217  -1224.727457892  
 -14.187  -1224.727449856  
 -14.157  -1224.727441764  
 -14.127  -1224.727433617  
 -14.097  -1224.727425414  
 -14.067  -1224.727417156  
 -14.037  -1224.727408841  
 -14.007  -1224.727400471  
 -13.977  -1224.727392045  
 -13.947  -1224.727383564  
 -13.917  -1224.727375026  
 -13.887  -1224.727366433  
 -13.857  -1224.727357783  
 -13.827  -1224.727349078  
 -13.797  -1224.727340316  
 -13.767  -1224.727331498  
 -13.737  -1224.727322624  
 -13.707  -1224.727313694  
 -13.677  -1224.727304707  
 -13.647  -1224.727295663  
 -13.617  -1224.727286563  
 -13.587  -1224.727277406  
 -13.557  -1224.727268192  
 -13.527  -1224.727258921  
 -13.497  -1224.727249593  
 -13.467  -1224.727240208  
 -13.437  -1224.727230765  
 -13.407  -1224.727221265  
 -13.377  -1224.727211707  
 -13.347  -1224.727202091  
 -13.317  -1224.727192417  
 -13.287  -1224.727182685  
 -13.257  -1224.727172894  
 -13.227  -1224.727163046  
 -13.197  -1224.727153138  
 -13.167  -1224.727143172  
 -13.137  -1224.727133146  
 -13.107  -1224.727123062  
 -13.077  -1224.727112918  
 -13.047  -1224.727102714  
 -13.017  -1224.727092451  
 -12.987  -1224.727082129  
 -12.957  -1224.727071746  
 -12.927  -1224.727061303  
 -12.897  -1224.727050800  
 -12.867  -1224.727040237  
 -12.837  -1224.727029613  
 -12.807  -1224.727018929  
 -12.777  -1224.727008183  
 -12.747  -1224.726997377  
 -12.717  -1224.726986510  
 -12.687  -1224.726975582  
 -12.657  -1224.726964592  
 -12.627  -1224.726953542  
 -12.597  -1224.726942429  
 -12.567  -1224.726931256  
 -12.537  -1224.726920021  
 -12.507  -1224.726908724  
 -12.477  -1224.726897365  
 -12.447  -1224.726885945  
 -12.417  -1224.726874464  
 -12.387  -1224.726862920  
 -12.357  -1224.726851315  
 -12.327  -1224.726839648  
 -12.297  -1224.726827919  
 -12.267  -1224.726816128  
 -12.237  -1224.726804276  
 -12.207  -1224.726792362  
 -12.177  -1224.726780386  
 -12.148  -1224.726768348  
 -12.118  -1224.726756249  
 -12.088  -1224.726744088  
 -12.058  -1224.726731866  
 -12.028  -1224.726719582  
 -11.998  -1224.726707236  
 -11.968  -1224.726694829  
 -11.938  -1224.726682361  
 -11.908  -1224.726669832  
 -11.878  -1224.726657242  
 -11.848  -1224.726644590  
 -11.818  -1224.726631877  
 -11.788  -1224.726619104  
 -11.758  -1224.726606269  
 -11.728  -1224.726593374  
 -11.698  -1224.726580418  
 -11.668  -1224.726567401  
 -11.638  -1224.726554324  
 -11.608  -1224.726541187  
 -11.578  -1224.726527989  
 -11.548  -1224.726514730  
 -11.518  -1224.726501412  
 -11.488  -1224.726488034  
 -11.458  -1224.726474595  
 -11.428  -1224.726461097  
 -11.398  -1224.726447539  
 -11.368  -1224.726433920  
 -11.338  -1224.726420243  
 -11.308  -1224.726406505  
 -11.278  -1224.726392708  
 -11.248  -1224.726378852  
 -11.218  -1224.726364936  
 -11.188  -1224.726350961  
 -11.158  -1224.726336926  
 -11.128  -1224.726322832  
 -11.098  -1224.726308679  
 -11.068  -1224.726294467  
 -11.038  -1224.726280195  
 -11.008  -1224.726265865  
 -10.978  -1224.726251475  
 -10.948  -1224.726237027  
 -10.918  -1224.726222519  
 -10.888  -1224.726207953  
 -10.858  -1224.726193328  
 -10.828  -1224.726178644  
 -10.798  -1224.726163901  
 -10.768  -1224.726149099  
 -10.738  -1224.726134238  
 -10.708  -1224.726119319  
 -10.678  -1224.726104341  
 -10.648  -1224.726089305  
 -10.618  -1224.726074209  
 -10.588  -1224.726059055  
 -10.558  -1224.726043843  
 -10.528  -1224.726028571  
 -10.498  -1224.726013241  
 -10.468  -1224.725997853  
 -10.438  -1224.725982406  
 -10.408  -1224.725966900  
 -10.378  -1224.725951336  
 -10.348  -1224.725935713  
 -10.318  -1224.725920031  
 -10.288  -1224.725904291  
 -10.258  -1224.725888493  
